column_name,column_type,null,key,default,extra
time,TIMESTAMP_NS,YES,,,
fr_eng,DOUBLE,YES,,,
pr_air_start,DOUBLE,YES,,,
pr_air_control,DOUBLE,YES,,,
te_fuel_eng_in,DOUBLE,YES,,,
pr_air_scav,DOUBLE,YES,,,
se_mip__0,DOUBLE,YES,,,
se_mip__1,DOUBLE,YES,,,
se_mip__2,DOUBLE,YES,,,
se_mip__3,DOUBLE,YES,,,
se_mip__4,DOUBLE,YES,,,
se_mip__5,DOUBLE,YES,,,
se_mip_mv,DOUBLE,YES,,,
pr_cyl_max__0,DOUBLE,YES,,,
pr_cyl_max__1,DOUBLE,YES,,,
pr_cyl_max__2,DOUBLE,YES,,,
pr_cyl_max__3,DOUBLE,YES,,,
pr_cyl_max__4,DOUBLE,YES,,,
pr_cyl_max__5,DOUBLE,YES,,,
pr_cyl_max_mv,DOUBLE,YES,,,
pr_cyl_comp__0,DOUBLE,YES,,,
pr_cyl_comp__1,DOUBLE,YES,,,
pr_cyl_comp__2,DOUBLE,YES,,,
pr_cyl_comp__3,DOUBLE,YES,,,
pr_cyl_comp__4,DOUBLE,YES,,,
pr_cyl_comp__5,DOUBLE,YES,,,
pr_cyl_comp_mv,DOUBLE,YES,,,
pr_pmax_ordered,DOUBLE,YES,,,
pr_pcomp_ordered,DOUBLE,YES,,,
re_pcomppscav_ordered,DOUBLE,YES,,,
pr_air_scav_ecs,DOUBLE,YES,,,
fr_eng_setpoint,DOUBLE,YES,,,
fr_eng_ecs,DOUBLE,YES,,,
re_eng_load_estimate_ecs,DOUBLE,YES,,,
re_eng_load,DOUBLE,YES,,,
in_engine_running_mode,DOUBLE,YES,,,
bo_gov_mode_rpm,DOUBLE,YES,,,
bo_gov_mode_torque,DOUBLE,YES,,,
bo_gov_mode_index,DOUBLE,YES,,,
bo_gov_fuel_idx_limiter,BOOLEAN,YES,,,
bo_aux_blower_running,DOUBLE,YES,,,
re_fuel_sulpher,DOUBLE,YES,,,
vf_lub_eng_in,DOUBLE,YES,,,
re_lub_melub_feedrate_high_bn,DOUBLE,YES,,,
mr_lub_melub_nominal_feedrate,DOUBLE,YES,,,
re_lub_melub_feedrate_low_bn,DOUBLE,YES,,,
bo_melub_state_prelube,BOOLEAN,YES,,,
bo_melub_lcd_active,BOOLEAN,YES,,,
bo_melub_lowload_active,BOOLEAN,YES,,,
mr_luboil_cyl_in_feedrate__0,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__1,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__2,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__3,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__4,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__5,DOUBLE,YES,,,
te_fuel_eng_manually_entered,DOUBLE,YES,,,
cv_fuel,DOUBLE,YES,,,
de_fuel15c,DOUBLE,YES,,,
re_applied_fuel_quality_offset,DOUBLE,YES,,,
re_total_fuel_quality_offset,DOUBLE,YES,,,
pr_hydr_in,DOUBLE,YES,,,
pr_hydr_out,DOUBLE,YES,,,
pr_hydr_pump_setpoint,DOUBLE,YES,,,
re_hps_swash_position__0,DOUBLE,YES,,,
re_hps_swash_position__1,DOUBLE,YES,,,
re_hps_swash_position__2,DOUBLE,YES,,,
pr_pmax_offset_chief__0,DOUBLE,YES,,,
pr_pmax_offset_chief__1,DOUBLE,YES,,,
pr_pmax_offset_chief__2,DOUBLE,YES,,,
pr_pmax_offset_chief__3,DOUBLE,YES,,,
pr_pmax_offset_chief__4,DOUBLE,YES,,,
pr_pmax_offset_chief__5,DOUBLE,YES,,,
pr_pmax_offset_all,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__0,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__1,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__2,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__3,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__4,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__5,DOUBLE,YES,,,
re_pcomp_pscav_offset_all,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__0,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__1,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__2,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__3,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__4,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__5,DOUBLE,YES,,,
an_exh_valve_open_offset_all,DOUBLE,YES,,,
in_acu1_noise_pulses,DOUBLE,YES,,,
in_acu2_noise_pulses,DOUBLE,YES,,,
in_acu3_noise_pulses,DOUBLE,YES,,,
in_ccu_noise_pulses__0,DOUBLE,YES,,,
in_ccu_noise_pulses__1,DOUBLE,YES,,,
in_ccu_noise_pulses__2,DOUBLE,YES,,,
in_ccu_noise_pulses__3,DOUBLE,YES,,,
in_ccu_noise_pulses__4,DOUBLE,YES,,,
in_ccu_noise_pulses__5,DOUBLE,YES,,,
er_acu1_insulation,DOUBLE,YES,,,
er_acu2_insulation,DOUBLE,YES,,,
er_acu3_insulation,DOUBLE,YES,,,
er_ecua_insulation,DOUBLE,YES,,,
er_ecub_insulation,DOUBLE,YES,,,
er_eicua_insulation,DOUBLE,YES,,,
er_eicub_insulation,DOUBLE,YES,,,
er_ccu_insulation__0,DOUBLE,YES,,,
er_ccu_insulation__1,DOUBLE,YES,,,
er_ccu_insulation__2,DOUBLE,YES,,,
er_ccu_insulation__3,DOUBLE,YES,,,
er_ccu_insulation__4,DOUBLE,YES,,,
er_ccu_insulation__5,DOUBLE,YES,,,
re_gov_idx_fuel_prim,DOUBLE,YES,,,
re_pcomp_pscav__0,DOUBLE,YES,,,
re_pcomp_pscav__1,DOUBLE,YES,,,
re_pcomp_pscav__2,DOUBLE,YES,,,
re_pcomp_pscav__3,DOUBLE,YES,,,
re_pcomp_pscav__4,DOUBLE,YES,,,
re_pcomp_pscav__5,DOUBLE,YES,,,
re_pcomp_pscav_mv,DOUBLE,YES,,,
re_melub_bn_high,DOUBLE,YES,,,
re_melub_bn_low,DOUBLE,YES,,,
te_cyl_liner_wall_pump__0,DOUBLE,YES,,,
te_cyl_liner_wall_pump__1,DOUBLE,YES,,,
te_cyl_liner_wall_pump__2,DOUBLE,YES,,,
te_cyl_liner_wall_pump__3,DOUBLE,YES,,,
te_cyl_liner_wall_pump__4,DOUBLE,YES,,,
te_cyl_liner_wall_pump__5,DOUBLE,YES,,,
te_cyl_liner_wall_exh__0,DOUBLE,YES,,,
te_cyl_liner_wall_exh__1,DOUBLE,YES,,,
te_cyl_liner_wall_exh__2,DOUBLE,YES,,,
te_cyl_liner_wall_exh__3,DOUBLE,YES,,,
